timestamp,open,high,low,close,volume
2026-02-13,29.2000,29.2000,29.2000,29.2000,0
2024-09-26,30.1100,30.1925,25.1500,29.2000,3242853
2024-08-30,30.2300,31.7700,28.6000,30.8900,3105493
2024-07-31,32.1000,33.5900,30.8300,30.8900,2514541
2024-06-28,33.9800,34.0700,30.8000,31.4800,2212981
2024-05-31,35.5100,37.5300,33.0260,33.7400,1906923
2024-04-30,37.9700,41.6500,36.3000,36.3500,1333935
2024-03-28,39.6500,40.1100,37.3375,38.5300,1484213
2024-02-29,35.3000,39.7000,34.4100,39.4800,1133368
2024-01-31,37.1000,37.3500,33.4500,34.8400,1993948
2023-12-29,34.6100,37.7988,34.5050,37.2200,1132787
2023-11-30,31.0250,35.3700,31.0250,34.8500,1633071
2023-10-31,33.9700,34.9600,30.7950,30.9400,2000038
2023-09-29,34.5400,35.8900,33.6900,33.9700,2150604
2023-08-31,38.7800,39.0300,34.5900,35.1400,851549
2023-07-31,40.9100,41.0300,38.9680,40.6800,879813
2023-06-30,36.7900,41.2000,36.7000,41.1000,795875
2023-05-31,37.5300,40.3790,35.9000,36.3800,1141167
2023-04-28,36.6800,38.2200,35.4900,37.3200,1218186
2023-03-31,35.4800,36.6330,32.9600,36.4850,1100067
2023-02-28,34.0900,35.9000,34.0900,34.4100,2074132
2023-01-31,30.3800,33.8500,30.0750,33.8500,1515595
2022-12-30,30.0000,30.3585,28.9600,29.6600,1070262
2022-11-30,26.7900,30.3200,24.5700,30.3000,910706
2022-10-31,23.0100,26.7700,22.8500,26.2700,2485574
2022-09-30,24.2400,25.6500,22.2650,22.6350,4228610
2022-08-31,27.2901,27.7800,24.1000,24.5300,3048235
2022-07-29,25.4100,27.3000,23.7800,27.3000,2685452
2022-06-30,29.6100,30.3400,24.9450,25.7900,1743850
2022-05-31,27.1701,29.2700,25.9500,29.0300,1839234
2022-04-29,29.3100,29.3850,26.6200,27.1700,1694541
2022-03-31,31.6500,31.6500,24.9700,28.8000,3700159
2022-02-28,35.4400,36.4600,31.3400,31.8800,876499
2022-01-31,34.2800,38.0900,33.9200,35.0450,1265853
2021-12-31,33.3600,34.6200,32.0950,33.4000,1307634
2021-11-30,33.8700,35.8000,31.8800,32.1400,1068703
2021-10-29,32.5640,34.5200,31.3400,33.8000,1850285
2021-09-30,31.4950,33.3000,30.1700,32.7000,949990
2021-08-31,33.6800,33.8900,29.6300,31.7600,973693
2021-07-30,35.4800,35.7900,32.2000,33.1750,854561
2021-06-30,36.0900,39.6300,35.3600,35.4950,1007548
2021-05-28,33.7800,35.8000,32.7207,35.4600,660127
2021-04-30,34.7800,36.9900,33.2900,33.3420,1138692
2021-03-31,28.9000,35.0100,28.8300,34.6050,1838171
2021-02-26,28.1700,29.6200,27.9000,28.8212,1380312
2021-01-29,29.8900,29.9700,27.6300,28.3250,947477
2020-12-31,29.7500,30.5600,28.3220,29.3500,757463
2020-11-30,23.1600,30.4400,22.9000,28.9900,1122794
2020-10-30,24.5000,25.8410,22.4000,22.8300,748721
2020-09-30,23.9000,25.6600,22.7850,24.2200,1056442
2020-08-31,21.7900,24.3450,21.4700,23.9800,849631
2020-07-31,21.0200,23.7850,21.0200,21.4550,1205254
2020-06-30,19.6800,23.1100,19.6800,21.3400,1655651
2020-05-29,19.4200,20.3000,16.4000,19.6700,2393940
2020-04-30,16.3000,20.3000,15.9000,19.6700,3082796
2020-03-31,21.6900,22.0700,13.2600,17.1000,5238438
2020-02-28,23.6300,24.4700,21.0000,21.6400,1576345
2020-01-31,27.6800,27.8400,23.5700,23.6400,1162001
2019-12-31,26.6800,28.5500,26.3500,27.1200,1098925
2019-11-29,25.8000,27.6400,25.7200,26.8700,854968
2019-10-31,23.6800,25.9900,22.4400,25.4900,1239364
2019-09-30,22.0300,24.1600,21.9800,23.4100,1180106
2019-08-30,24.7800,24.9700,21.6100,22.3200,2359475
2019-07-31,24.8800,26.1000,24.2400,24.5000,6085756
2019-06-28,22.9300,24.7900,22.9300,24.5900,1856487
2019-05-31,28.3900,28.6500,22.8700,23.0400,2044051
2019-04-30,26.1600,29.2500,26.0300,28.3900,1091140
2019-03-29,28.5000,28.9000,25.3300,25.7100,1262430
2019-02-28,28.2700,28.4300,25.9700,28.1600,1420333
2019-01-31,26.1840,28.4400,26.1750,28.1300,2063084
2018-12-31,28.7200,28.8200,26.0500,26.9700,3333785
2018-11-30,29.1100,29.8000,27.0500,27.3800,2277037
2018-10-31,30.3200,30.5800,27.1400,28.7200,2635316
2018-09-28,31.4800,33.7100,29.9200,30.0400,2207106
2018-08-31,31.6800,33.1300,30.5400,32.2800,2099103
2018-07-31,30.2100,32.5200,30.0300,32.3500,1478873
2018-06-29,33.6500,34.3200,29.7800,30.1800,2477337
2018-05-31,36.9000,37.3600,32.8700,33.4100,843013
2018-04-30,36.1100,37.7300,35.4100,37.0700,1655667
2018-03-29,34.7900,36.5000,33.7800,36.2800,1076951
2018-02-28,37.9800,38.2800,34.6200,35.1300,1322514
2018-01-31,34.2700,39.5000,34.2700,38.1800,1010030
2017-12-29,33.3600,35.1200,33.0400,34.6700,1555201
2017-11-30,34.6900,35.0600,33.2100,33.7000,673077
2017-10-31,33.7000,35.0100,33.4700,34.2000,2199926
2017-09-29,31.1100,34.0000,31.1100,33.8400,688513
2017-08-31,31.0900,32.1200,30.7800,31.0100,725426
2017-07-31,31.5700,32.4300,30.2000,30.6200,1284234
2017-06-30,31.6100,32.5000,30.8400,31.1600,1133630
2017-05-31,31.8500,32.9300,31.2000,31.3100,2157657
2017-04-28,30.3900,32.2200,29.0000,31.7900,1201117
2017-03-31,30.2600,30.7700,29.3700,30.4500,1362200
2017-02-28,30.6300,30.7700,29.3700,29.7500,832327
2017-01-31,31.4700,31.9600,30.2600,30.4100,1396880
2016-12-30,28.2000,31.8200,28.0200,31.0100,1988642
2016-11-30,29.1000,29.5300,27.5100,28.2850,1349491
2016-10-31,27.8400,29.2500,27.4700,29.0400,916522
2016-09-30,29.4600,29.5400,26.9600,28.0500,1002655
2016-08-31,28.6500,30.0800,27.8750,29.0250,1311780
2016-07-29,25.0900,28.8400,23.6500,28.6900,9211487
2016-06-30,27.5600,28.4200,23.7800,24.5400,1857324
2016-05-31,31.2250,31.2700,26.2800,28.0200,978268
2016-04-29,29.5550,31.9200,27.6900,30.8600,683273
2016-03-31,28.1100,31.3000,27.8900,30.5800,1184848
2016-02-29,27.1900,28.0970,25.1600,26.9700,1854382
2016-01-29,33.6200,33.6800,27.3000,27.7700,1772630
2015-12-31,36.7900,36.8300,33.7200,34.8650,1152969
2015-11-30,34.5400,36.4750,33.2300,36.3300,695133
2015-10-30,29.4320,34.6100,28.7900,34.0950,1110289
2015-09-30,29.9900,33.7400,27.8700,29.4480,2301947
2015-08-31,33.5200,34.2900,28.8100,30.6900,2737524
2015-07-31,37.2600,37.4900,32.3900,33.3700,1321064
2015-06-29,36.8800,39.1700,36.0200,36.7400,1252705
2015-05-29,39.7000,41.0300,36.6300,36.8300,4081290
2015-04-30,41.7200,42.5000,39.1900,39.4300,840630
2015-03-31,42.2900,43.4800,40.3500,41.4650,1234916
2015-02-27,39.1200,42.7500,38.3250,42.0200,1624437
2015-01-30,35.2760,39.7400,33.6100,38.7100,2088109
2014-12-31,38.2200,38.3400,35.1400,35.6200,1221197
2014-11-28,35.6860,38.1800,34.1800,38.0100,774949
2014-10-31,35.8500,35.8800,32.4400,35.7100,1352384
2014-09-30,39.0400,39.9400,35.4200,36.2000,386390
2014-08-29,39.3200,40.1128,38.1000,39.2100,455821
2014-07-31,42.2100,43.2200,39.5862,39.6300,741853
2014-06-30,41.6100,42.6490,40.7100,42.3000,761699
2014-05-30,41.5870,41.8770,39.0100,41.8000,713660
2014-04-30,42.4200,43.2500,40.1800,41.7300,632510
2014-03-31,37.6400,42.3600,36.1700,42.0100,1256551
2014-02-28,36.2620,39.2800,35.6500,38.4700,800789
2014-01-31,38.3855,39.1800,35.7700,36.2300,2020616
2013-12-31,38.4500,39.4700,36.3500,39.4300,854530
2013-11-29,37.3600,38.5000,35.7700,38.2500,712551
2013-10-31,36.0700,38.5900,35.3200,37.7600,1114845
2013-09-30,31.8200,36.9300,31.1600,35.8200,1779256
2013-08-30,32.0900,33.7200,31.1500,31.3300,731535
2013-07-31,29.3000,33.0800,28.2100,32.6000,1220590
2013-06-28,31.9040,32.1000,27.8400,29.1300,461713
2013-05-31,30.9100,31.9800,29.7600,31.7100,539271
2013-04-30,28.7000,30.8300,27.5000,30.6900,537138
2013-03-28,29.6000,31.6300,28.6400,28.8500,626411
2013-02-28,33.6500,34.0000,29.9600,30.8100,1180445
2013-01-31,33.3800,34.0700,31.2800,33.4700,426665
2012-12-31,29.6000,32.6000,29.4000,32.6000,551855
2012-11-30,27.2000,29.6700,26.1300,29.5000,804054
2012-10-31,24.4200,27.2800,24.3100,26.6000,566053
2012-09-28,23.2700,27.2400,22.7379,24.2800,407771
2012-08-31,24.0600,25.7100,22.5600,24.1525,1909073
2012-07-31,24.2100,25.1300,21.8100,24.7500,457414
2012-06-29,24.1900,25.6100,22.0700,23.9200,4456118
2012-05-31,31.5600,32.1600,24.9200,25.2500,895733
2012-04-30,30.0100,31.9400,28.0500,31.7100,633214
2012-03-30,31.3600,32.2300,28.9700,29.9200,1866354
2012-02-29,29.4900,32.0600,29.3843,30.7500,2015112
2012-01-31,23.7500,29.0300,23.3200,28.5300,1444266
2011-12-30,24.9100,25.4300,21.3900,22.2300,1611673
2011-11-30,25.2400,28.1800,21.8400,25.1000,1808332
2011-10-31,20.8600,29.2800,19.1300,27.0500,1501761
2011-09-30,26.7000,27.3200,22.0000,22.0000,3313882
2011-08-31,33.3800,33.3800,23.6500,26.9700,4658711
2011-07-29,32.5600,35.3000,30.9900,33.2800,4200253
2011-06-30,29.3000,33.3800,28.5500,33.0500,3918853
2011-05-31,32.1100,32.2300,27.4600,29.5100,2087264
2011-04-29,15.5500,31.4500,12.8000,31.3500,2033625
2011-03-31,15.5500,19.7400,12.8000,19.5200,0
2011-02-28,15.5500,19.7400,12.8000,19.5200,0
2011-01-31,15.5500,19.7400,12.8000,19.5200,0
2010-12-31,15.5500,19.7400,12.8000,19.5200,0
2010-11-30,15.5500,19.7400,12.8000,19.5200,0
2010-10-29,15.5500,19.7400,12.8000,19.5200,0
2010-09-30,15.5500,19.7400,12.8000,19.5200,106086775
2010-08-31,15.5500,19.7000,12.8000,17.4000,319225349
2010-07-30,15.5500,18.3900,12.8000,17.9600,250135551
2010-06-30,15.5500,17.2800,12.8000,16.1500,184410000
2010-05-28,15.5500,16.8000,12.8000,15.3800,110063958
2010-04-30,15.5500,16.8000,12.8000,16.2600,102389099
2010-03-31,15.5500,15.5500,12.8000,15.3700,77271109
2010-02-26,15.5500,15.5500,12.8000,13.5000,26981331
2010-01-29,15.5100,15.8900,13.7000,14.3500,6396789
2009-12-31,16.2500,16.3600,15.0300,15.1900,1672781
2009-11-30,16.4200,17.3500,15.2500,15.7900,1092573
2009-10-30,15.9000,18.1500,15.3000,16.7300,334644
2009-09-30,14.9700,17.6300,14.3000,16.0500,307797
2009-08-31,15.7800,15.9000,14.5100,15.2500,45636
2009-07-31,12.8500,15.4500,11.5500,15.4500,95913
2009-06-30,12.8000,13.8500,11.8300,12.5300,76821
2009-05-29,11.4500,12.8400,10.7700,12.0000,242314
2009-04-30,11.6500,12.3400,10.4500,11.6400,164569
2009-03-31,8.2000,10.3600,7.8900,9.6500,177794
2009-02-27,7.6800,10.4000,7.4800,8.3500,134508
2009-01-30,10.4500,10.7000,7.4500,8.2500,138939
2008-12-31,8.1500,11.2500,8.0500,10.5500,883713
